LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"MI-JACK PRODUCTS, INC.",3111 W 167TH ST,HAZEL CREST,IL,60429,333923,Corporation,Unanswered,Unanswered,Unanswered,,331,4/15/2020,Fifth Third Bank,IL - 02
a $5-10 million,MIDWEST ANESTHESIA PARTNERS LLC,387 SHUMAN BLVD SUITE 240W,NAPERVILLE,IL,60563,621111,Corporation,Unanswered,Unanswered,Unanswered,,321,4/14/2020,"Citibank, N.A.",IL - 06
a $5-10 million,"MIDWEST ORTHOPAEDICS AT RUSH, LLC",1611 W. Harrison St. 0.0,CHICAGO,IL,60612,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,460,4/13/2020,"JPMorgan Chase Bank, National Association",IL - 05
a $5-10 million,MINIAT HOLDINGS LLC,16250 S Vincennes Avenue,SOUTH HOLLAND,IL,60473,311612,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/27/2020,"Wintrust Bank, National Association",IL - 02
a $5-10 million,"MKD ELECTRIC, INC.",2590 Alft Ln. Unit A,ELGIN,IL,60124,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,340,4/6/2020,"St. Charles Bank & Trust Company, National Association",IL - 06
a $5-10 million,"MODERN FORGE COMPANIES, LLC",13810 WESTERN AVE.,BLUE ISLAND,IL,60406,332111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/6/2020,"Wintrust Bank, National Association",IL - 01
a $5-10 million,"MOTOR WERKS OF BARRINGTON, INC",1475 S BARRINGTON RD,BARRINGTON,IL,60010,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,346,4/7/2020,"Barrington Bank & Trust Company, National Association",IL - 06
a $5-10 million,"MULTI-TEMPS SERVICES, INC",1821 N Mannheim Rd,STONE PARK,IL,60165,561311,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,500,5/6/2020,First Midwest Bank,IL - 04
a $5-10 million,MUSCULAR DYSTROPHY ASSOCIATION INC,161 N Clark Ste 3550,CHICAGO,IL,60601,541720,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,235,5/3/2020,"Bank of America, National Association",IL - 07
a $5-10 million,"MVP WORKFORCE, LLC",1751 Lake Cook Road Suite 600,DEERFIELD,IL,60015,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/9/2020,"Wintrust Bank, National Association",IL - 10
a $5-10 million,NATIONAL COUNCIL OF YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE UNITED STATES OF AM,101 North Wacker Drive 16th Floor,CHICAGO,IL,60606,813410,Corporation,Unanswered,Unanswered,Unanswered,,279,4/27/2020,"Wintrust Bank, National Association",IL - 07
a $5-10 million,NATIONAL RAILWAY EQUIPMENT CO,1100 SHAWNEE ST,MOUNT VERNON,IL,62864,488210,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,494,4/3/2020,Community First Bank of the Heartland,IL - 12
a $5-10 million,NATIONAL SAFETY COUNCIL,1121 Spring Lake Drive,ITASCA,IL,60143,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,485,4/10/2020,BMO Harris Bank National Association,IL - 08
a $5-10 million,NAZDAR COMPANY,180 N STETSON AVE STE 4330,CHICAGO,IL,60601,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,370,4/7/2020,BMO Harris Bank National Association,IL - 07
a $5-10 million,NEPHROLOGY ASSOCIATES OF NORTHERN ILLINOIS LTD,120 W. 22nd St.,OAK BROOK,IL,60523,621492,Corporation,White,Male Owned,Unanswered,,398,4/7/2020,The Huntington National Bank,IL - 05
a $5-10 million,"NORTH AMERICA CENTRAL SCHOOL BUS INTERMEDIATE HOLDING CO, LLC",78 N. Chicago St,JOLIET,IL,60432,485410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/16/2020,"PNC Bank, National Association",IL - 03
a $5-10 million,"NORTHWEST PALLET SERVICES, LLC",1450 American Ln,SCHAUMBURG,IL,60173,321920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/15/2020,Live Oak Banking Company,IL - 06
a $5-10 million,"NOVASPECT, INC.",1124 TOWER RD,SCHAUMBURG,IL,60173,541330,Corporation,Unanswered,Unanswered,Unanswered,,260,4/5/2020,"Village Bank and Trust, National Association",IL - 06
a $5-10 million,"NU-WAY LOGISTICS, INC.",2 Access Way,BLOOMINGTON,IL,61705,484122,Corporation,White,Male Owned,Unanswered,,444,4/8/2020,State Bank of Graymont,IL - 13
a $5-10 million,"NUSSBAUM TRANSPORTATION SERVICES, INC.",19336 N 1425 East Road,HUDSON,IL,61748,423860,Corporation,Unanswered,Unanswered,Unanswered,,500,4/28/2020,Commerce Bank,IL - 18
a $5-10 million,"NVN MANAGEMENT, LLC",566 W. Lake Stree Suite 320,CHICAGO,IL,60661,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,500,4/5/2020,"Lake Forest Bank & Trust Company, National Association",IL - 07
a $5-10 million,"O'NEIL INDUSTRIES, INC",1245 W Washington Blvd,CHICAGO,IL,60607,518210,Corporation,Unanswered,Unanswered,Unanswered,,474,4/5/2020,"Wheaton Bank & Trust Company, National Association",IL - 07
a $5-10 million,"OBERWEIS DAIRY, INC.",901 Ice Cream Drive,NORTH AURORA,IL,60542,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/8/2020,CIBC Bank USA,IL - 11
a $5-10 million,"OPPORTUNITY FINANCIAL, LLC",130 E. RANDOLPH ST Suite 3400,CHICAGO,IL,60601,522291,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,467,4/8/2020,BMO Harris Bank National Association,IL - 07
a $5-10 million,ORIGAMI RISK LLC,222 N. LaSalle St.   Suite 2125,CHICAGO,IL,60601,517919,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,300,4/10/2020,BMO Harris Bank National Association,IL - 07
a $5-10 million,OUNCE OF PREVENTION FUND,33 W MONROE ST,CHICAGO,IL,60603,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,350,4/12/2020,"PNC Bank, National Association",IL - 07
a $5-10 million,"PANGEA EQUITY PARTNERS II, LP",549 W. Randolph St. 2nd Floor,CHICAGO,IL,60661,531110,Partnership,Unanswered,Unanswered,Unanswered,,494,4/9/2020,CIBC Bank USA,IL - 07
a $5-10 million,PATRICK ENGINEERING INC.,4970 Varsity Drive,LISLE,IL,60532,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,312,4/11/2020,Fifth Third Bank,IL - 06
a $5-10 million,"PATRICK SCHAUMBURG AUTOMOBILES, INC.",526 Mall Drive 0.0,SCHAUMBURG,IL,60173,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,130,4/9/2020,"JPMorgan Chase Bank, National Association",IL - 06
a $5-10 million,"PATSON, INC.",776 N YORK STREET,ELMHURST,IL,60126,532120,Corporation,Unanswered,Unanswered,Unanswered,,336,4/14/2020,Fifth Third Bank,IL - 04
a $5-10 million,PEPSI MIDAMERICA COMPANY,2605 W Main St,MARION,IL,62959,312111,Corporation,Unanswered,Unanswered,Unanswered,,500,4/14/2020,"Bank of America, National Association",IL - 12
a $5-10 million,PERNIX GROUP INC.,151 E. 22nd Street,LOMBARD,IL,60148,237990,Corporation,Unanswered,Unanswered,Unanswered,,236,4/11/2020,The Huntington National Bank,IL - 06
a $5-10 million,"PERSONNEL STAFFING GROUP, LLC",1751 Lake Cook Rd. Suite 600,DEERFIELD,IL,60015,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/27/2020,BMO Harris Bank National Association,IL - 10
a $5-10 million,PETER BAKER & SON CO.,1349 ROCKLAND RD,LAKE BLUFF,IL,60044,324121,Corporation,Unanswered,Unanswered,Unanswered,,,4/11/2020,First American Bank,IL - 10
a $5-10 million,PHOENIX CLOSURES INC,1899 High Grove Lane,NAPERVILLE,IL,60540,326199,Corporation,Unanswered,Unanswered,Unanswered,,436,4/27/2020,Fifth Third Bank,IL - 06
a $5-10 million,"PINSTRIPES, INC.",1150 Willow Road,NORTHBROOK,IL,60062,722513,Corporation,White,Unanswered,Unanswered,,0,4/7/2020,Live Oak Banking Company,IL - 09
a $5-10 million,PLOTE CONSTRUCTION INC,1100 BRANDT DR,HOFFMAN ESTATES,IL,60192,237310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,271,4/9/2020,CIBC Bank USA,IL - 01
a $5-10 million,"PLS GROUP, INC.","One South Wacker Drive, 36th Floor",CHICAGO,IL,60606,522390,Corporation,Unanswered,Unanswered,Unanswered,,500,4/15/2020,"BOKF, National Association",IL - 07
a $5-10 million,PLYMOUTH TUBE COMPANY,9W150 Warrenville Road,WARRENVILLE,IL,60555,813910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/15/2020,"U.S. Bank, National Association",IL - 06
a $5-10 million,POPPIN' JAY INC,650 Dundee Rd. Suite 250,NORTHBROOK,IL,60062,541613,Subchapter S Corporation,White,Male Owned,Non-Veteran,,234,4/11/2020,The Huntington National Bank,IL - 09
a $5-10 million,PROGRESSIVE PACKAGING CORPORATION,555 E BUTTERFIELD RD  STE 209,LOMBARD,IL,60148,454390,Corporation,Unanswered,Unanswered,Unanswered,,4,4/9/2020,Fifth Third Bank,IL - 06
a $5-10 million,"QUEST FOOD MANAGEMENT SERVICES, INC.",2500 S Highland Ave Ste 250,LOMBARD,IL,60148,722310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/10/2020,BMO Harris Bank National Association,IL - 06
a $5-10 million,"R&D REALTY AND MANAGEMENT, LTD.",4830 Butterfield Rd,HILLSIDE,IL,60162,531110,Corporation,Unanswered,Male Owned,Unanswered,,,4/30/2020,Radius Bank,IL - 04
a $5-10 million,"R.J. O'BRIEN & ASSOCIATES, LLC",222 S RIVERSIDE PLAZA Suite 1200,CHICAGO,IL,60606,523140,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/14/2020,BMO Harris Bank National Association,IL - 07
a $5-10 million,RAYNOR MFG. CO.,1101 E River Rd,DIXON,IL,61021,332321,Corporation,Unanswered,Unanswered,Unanswered,,476,4/8/2020,CIBC Bank USA,IL - 16
a $5-10 million,RELIABLE STAFFING SERVICES INC,870 Oak ST. 0.0,LAKE IN THE HILLS,IL,60156,561311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,400,4/10/2020,"JPMorgan Chase Bank, National Association",IL - 06
a $5-10 million,REVERE ELECTRIC SUPPLY COMPANY,8807 187th Street,MOKENA,IL,60448,423610,Corporation,Unanswered,Unanswered,Unanswered,,374,4/7/2020,CIBC Bank USA,IL - 01
a $5-10 million,"RG CONSTRUCTION SERVICES, INC.",LARCH AVE,ELMHURST,IL,60126,236220,Corporation,Unanswered,Unanswered,Unanswered,,304,4/8/2020,"Village Bank and Trust, National Association",IL - 04
a $5-10 million,"RIVER CITY CONSTRUCTION, LLC",101 Hoffer Lane,EAST PEORIA,IL,61611,236220,Partnership,Unanswered,Unanswered,Unanswered,,302,4/5/2020,Commerce Bank,IL - 17
a $5-10 million,ROCKFORD ORTHOPEDIC ASSOCIATES LTD,5875 E RIVERSIDE BLVD,ROCKFORD,IL,61114,423450,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,482,4/11/2020,Illinois Bank & Trust,IL - 16
a $5-10 million,ROLAND MACHINERY COMPANY,816 N. DIRKSEN PKWY,SPRINGFIELD,IL,62702,423830,Corporation,White,Male Owned,Non-Veteran,,356,4/6/2020,Bank of Springfield,IL - 13
a $5-10 million,ROSE PAVING LLC,7300 W 100th Pl,BRIDGEVIEW,IL,60455,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,334,4/27/2020,First Midwest Bank,IL - 03
a $5-10 million,ROSELAND COMMUNITY HOSPITAL ASSOCIATION,45 W 111th St,CHICAGO,IL,60628,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,429,4/7/2020,"Beverly Bank & Trust Company, National Association",IL - 01
a $5-10 million,RTC INDUSTRIES INC,2800 GOLF RD,ROLLING MEADOWS,IL,60008,423440,Corporation,Unanswered,Unanswered,Unanswered,,386,5/3/2020,"Bank of America, National Association",IL - 05
a $5-10 million,"RUD MANAGEMENT, LLC",1751 Lake Cook Rd Ste 600,DEERFIELD,IL,60015,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,5/3/2020,"Bank of America, National Association",IL - 10
a $5-10 million,SASSER FAMILY HOLDINGS INC,425 N Martingale Rd 8th Fl,SCHAUMBURG,IL,60173,532112,Corporation,Unanswered,Unanswered,Unanswered,,336,4/27/2020,"Bank of America, National Association",IL - 06
a $5-10 million,SCHECK MECHANICAL CORP.,"1 East Oak Hill Dr., Ste. 100",WESTMONT,IL,60559,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,232,4/5/2020,"Wheaton Bank & Trust Company, National Association",IL - 06
a $5-10 million,SCHIFF HARDIN LLP,233 South Wacker Suite 7100,CHICAGO,IL,60606,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,321,4/6/2020,"Wintrust Bank, National Association",IL - 07
a $5-10 million,SCHULZE AND BURCH BISCUIT CO,1133 W 35th St,CHICAGO,IL,60609,311812,Corporation,Unanswered,Unanswered,Unanswered,,500,5/3/2020,"Bank of America, National Association",IL - 01
a $5-10 million,SCOT FORGE COMPANY,8001 Winn Road,SPRING GROVE,IL,60081,332111,Corporation,Unanswered,Male Owned,Unanswered,,500,4/27/2020,BMO Harris Bank National Association,IL - 10
a $5-10 million,"SCURTO CEMENT CONSTRUCTION, LTD.",389 Sola Dr.,GILBERTS,IL,60136,238110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,219,4/8/2020,West Suburban Bank,IL - 06
a $5-10 million,SET ENVIRONMENTAL INC.,450 Sumac Rd,WHEELING,IL,60090,562910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,498,4/13/2020,"JPMorgan Chase Bank, National Association",IL - 08
a $5-10 million,SEVAN MULTI-SITE SOLUTIONS INC,3025 Highland Parkway #850,DOWNERS GROVE,IL,60515,541330,Corporation,White,Unanswered,Unanswered,,250,4/4/2020,The Huntington National Bank,IL - 06
a $5-10 million,"SIGMA TRON INTERNATIONAL, INC.",2201 Landmeir Road,ELK GROVE VILLAGE,IL,60007,334418,Corporation,Unanswered,Unanswered,Unanswered,,500,4/15/2020,"U.S. Bank, National Association",IL - 05
a $5-10 million,SKENDER GROUP LLC,"1330 W Fulton St., Suite 200",CHICAGO,IL,60607,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,258,4/11/2020,BMO Harris Bank National Association,IL - 07
a $5-10 million,SLOAN VALVE COMPANY,10500 SEYMOUR AVE,FRANKLIN PARK,IL,60131,332913,Corporation,Unanswered,Unanswered,Unanswered,,500,4/6/2020,"Wintrust Bank, National Association",IL - 05
a $5-10 million,SMITHAMUNDSEN LLC,"150 N Michigan Ave, Suite 3300",CHICAGO,IL,60601,541110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,287,4/10/2020,BMO Harris Bank National Association,IL - 07
a $5-10 million,SOLOMON CORWELL BUENZ & ASSOCIATES,625 N MICHIGAN AVE,CHICAGO,IL,60611,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,277,4/7/2020,CIBC Bank USA,IL - 07
a $5-10 million,"SOLSTICE CONSULTING, LLC","111 N. Canal Street, Suite 700",CHICAGO,IL,60606,541512,,Unanswered,Unanswered,Unanswered,,379,5/3/2020,Fifth Third Bank,IL - 07
a $5-10 million,"SOUTHERN ORTHOPEDIC ASSOCIATES, S.C.",510 Lincoln Drive,HERRIN,IL,62948,621111,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,457,4/15/2020,Regions Bank,IL - 12
a $5-10 million,SOUTHFIELD CORPORATION,8995 W 95TH ST,PALOS HILLS,IL,60465,423320,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,338,4/8/2020,CIBC Bank USA,IL - 03
a $5-10 million,"SPRI PARTNERS, LLC",233 S. Wacker Dr. Suite 3500,CHICAGO,IL,60606,541512,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,300,4/4/2020,"Wintrust Bank, National Association",IL - 07
a $5-10 million,SPRINGFIELD ELECTRIC SUPPLY COMPANY,700  9TH ST,SPRINGFIELD,IL,62702,423610,Corporation,Unanswered,Unanswered,Unanswered,,354,4/6/2020,Bank of Springfield,IL - 13
a $5-10 million,"STARK EXCAVATING, INC",1805 W WASHINGTON ST,BLOOMINGTON,IL,61701,237210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,279,4/7/2020,"First Mid Bank & Trust, National Association",IL - 13
a $5-10 million,STEINER ELECTRIC COMPANY,1250 TOUHY AVE,ELK GROVE VILLAGE,IL,60007,423690,Corporation,Unanswered,Unanswered,Unanswered,,449,4/15/2020,"Bank of America, National Association",IL - 05
a $5-10 million,"STONEPEAK CERAMICS, INC.","314 W. Superior Steet, ste 201",CHICAGO,IL,60654,327120,Corporation,Unanswered,Unanswered,Unanswered,,437,4/29/2020,"U.S. Bank, National Association",IL - 07
a $5-10 million,"STRIVE CONSULTING, LLC",222 N. LaSalle Suite 200,CHICAGO,IL,60601,541611,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,283,4/6/2020,The Huntington National Bank,IL - 07
a $5-10 million,SUMMIT STAFFING,610 Enterprise Dr,OAK BROOK,IL,60523,561320,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,500,4/14/2020,First Midwest Bank,IL - 05
a $5-10 million,SUNSTAR AMERICAS INC,301 E Central Rd,SCHAUMBURG,IL,60195,339114,Corporation,Unanswered,Unanswered,Unanswered,,435,4/30/2020,"Bank of America, National Association",IL - 06
a $5-10 million,SUPERHEAT FGH SERVICES INC,313 GARNET DR,NEW LENOX,IL,60451,332996,Corporation,Unanswered,Unanswered,Unanswered,,314,4/28/2020,"HSBC Bank USA, National Association",IL - 01
a $5-10 million,"SVANACO, INC.",2600 S River Rd,DES PLAINES,IL,60018,541511,Corporation,Unanswered,Unanswered,Unanswered,,385,4/6/2020,"Wintrust Bank, National Association",IL - 05
a $5-10 million,SWOON GROUP LLC,300 S. WACKER DR Suite 300,CHICAGO,IL,60606,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,475,4/8/2020,CIBC Bank USA,IL - 07
a $5-10 million,SYMBRIA INC.,"28100 Torch Parkway, Suite 600",WARRENVILLE,IL,60555,446110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/27/2020,BMO Harris Bank National Association,IL - 06
a $5-10 million,SYNAPSIS INC,3161 W WHITE OAKS DR,SPRINGFIELD,IL,62704,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,325,4/13/2020,"PNC Bank, National Association",IL - 13
a $5-10 million,TCC WIRELESS LLC,175 S Bloomingdale Rd 0.0,BLOOMINGDALE,IL,60108,517911,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/10/2020,"JPMorgan Chase Bank, National Association",IL - 08
a $5-10 million,TEMPEL STEEL COMPANY,5500 N WOLCOTT AVE,CHICAGO,IL,60640,423510,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,322,4/13/2020,"PNC Bank, National Association",IL - 05
a $5-10 million,"THE BRADFORD HAMMACHER GROUP, INC.",9333 MILWAUKEE AVE,NILES,IL,60714,454110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/27/2020,BMO Harris Bank National Association,IL - 05
a $5-10 million,"THE CUSTOM COMPANIES, INC.",135 N RAILROAD AVE,MELROSE PARK,IL,60164,483211,Corporation,Unanswered,Unanswered,Unanswered,,467,4/5/2020,Radius Bank,IL - 04
a $5-10 million,"THE HORTON GROUP, INC.",10320 ORLAND PKWY,ORLAND PARK,IL,60467,524210,Corporation,Unanswered,Unanswered,Unanswered,,369,4/10/2020,Signature Bank,IL - 01
a $5-10 million,THE JELLYVISION LAB INC,848 West Eastman Suite 104,CHICAGO,IL,60642,511210,Corporation,Unanswered,Unanswered,Unanswered,,51,4/27/2020,Silicon Valley Bank,IL - 05
a $5-10 million,THE MOREY CORPORATION,100 Morey Drive,WOODRIDGE,IL,60517,334511,Corporation,Unanswered,Unanswered,Unanswered,,333,4/5/2020,"Wheaton Bank & Trust Company, National Association",IL - 03
a $5-10 million,THE NEW YORK BLOWER COMPANY,7660 QUINCY ST,WILLOWBROOK,IL,60527,333415,Corporation,Unanswered,Unanswered,Unanswered,,437,4/4/2020,American Community Bank & Trust,IL - 01
a $5-10 million,"THORNE ASSOCIATES, INC.",5507 N. CUMBERLAND AVE,CHICAGO,IL,60656,238310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,209,4/8/2020,CIBC Bank USA,IL - 05
a $5-10 million,TOTAL STAFFING SOLUTIONS INC,"4s100 Illinois Route 59, Suite 17",NAPERVILLE,IL,60563,561311,Corporation,Unanswered,Unanswered,Unanswered,,500,4/27/2020,Byline Bank,IL - 06
a $5-10 million,TOUCHETTE REGIONAL HOSPITAL,5900 BOND AVE,EAST SAINT LOUIS,IL,62207,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,469,4/9/2020,Commerce Bank,IL - 12
a $5-10 million,TRP ACQUISITION INC.,1000-46 ROHLWING RD,LOMBARD,IL,60148,442110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,480,4/6/2020,CIBC Bank USA,IL - 06
a $5-10 million,"TRUCK CENTERS, INC.",2280 FORMOSA RD,TROY,IL,62294,484121,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,500,4/11/2020,First Bank,IL - 12
a $5-10 million,"UNITED CONTRACTORS MIDWEST, INC.",3151 ROBBINS RD,SPRINGFIELD,IL,62704,237310,Corporation,Unanswered,Unanswered,Unanswered,,427,4/7/2020,"INB, National Association",IL - 13
a $5-10 million,"UNITED MAINTENANCE COMPANY, INC.",1550 S. Indiana Avenue #300,CHICAGO,IL,60605,561720,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,499,6/12/2020,"Wintrust Bank, National Association",IL - 02
a $5-10 million,"UNITED SCRAP METAL HOLDINGS, INC.",1545 South Cicero Ave,CHICAGO,IL,60608,423930,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,478,4/10/2020,CIBC Bank USA,IL - 03
a $5-10 million,"UPSTAGING, INC.",821 Park Avenue,SYCAMORE,IL,60178,484121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,346,4/8/2020,BMO Harris Bank National Association,IL - 14
a $5-10 million,UROPARTNERS LLC,2245 Enterprise Dr Ste 4506,WESTCHESTER,IL,60154,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,380,5/3/2020,"Bank of America, National Association",IL - 04
a $5-10 million,VASA FITNESS LLC,"1560 Sherman Ave, Suite 1200",EVANSTON,IL,60201,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/28/2020,"Zions Bank, A Division of",IL - 09
a $5-10 million,"VISTEX, INC.",2300 Barrington Road 0.0,HOFFMAN ESTATES,IL,60169,541990,Corporation,Unanswered,Unanswered,Unanswered,,399,4/9/2020,"JPMorgan Chase Bank, National Association",IL - 08
a $5-10 million,"WAREHOUSE DIRECT, INC.",2001 S. MOUNT PROSPECT RD,DES PLAINES,IL,60018,424120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,321,4/7/2020,CIBC Bank USA,IL - 05
a $5-10 million,WAVSYS LLC,2000 N RACINE AVE STE 4500,CHICAGO,IL,60614,511210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,463,5/3/2020,"Bank of America, National Association",IL - 05
a $5-10 million,"WILLIAM T. CONNELLY, INC.",40 S. Addison Rd. Suite 100,ADDISON,IL,60101,238210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,314,4/11/2020,First American Bank,IL - 08
a $5-10 million,"WILLOW CREEK COMMUNITY CHURCH, INC.",67 E. Algonquin Road,BARRINGTON,IL,60010,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,353,4/7/2020,"Wintrust Bank, National Association",IL - 06
a $5-10 million,WITT KIEFFER INC,2015 SPRING RD,OAK BROOK,IL,60523,561312,Corporation,Unanswered,Unanswered,Unanswered,,265,4/13/2020,"PNC Bank, National Association",IL - 05
a $5-10 million,"WOLFRAM RESEARCH, INC.",100 Trade Center Drive 0.0,CHAMPAIGN,IL,61820,511210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,401,4/15/2020,"JPMorgan Chase Bank, National Association",IL - 13
a $5-10 million,"WORKFLEX, LLC",1751 Lake Cook Rd Ste 600,DEERFIELD,IL,60015,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,4/27/2020,"Bank of America, National Association",IL - 10
a $5-10 million,XCEL STAFFING SOLUTIONS LLC,1541 S WAUKEGAN RD,WAUKEGAN,IL,60085,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/13/2020,"Lake Forest Bank & Trust Company, National Association",IL - 10
a $5-10 million,"ZIHUATANEJO HOLDINGS, LLC",620 DAVIS STREET,EVANSTON,IL,60201,623110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,500,4/30/2020,Congressional Bank,IL - 09
a $5-10 million,ABO LEASING CORPORATION,1955 N OAK DR,PLYMOUTH,IN,46563,561330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/10/2020,Macatawa Bank,IN - 02
a $5-10 million,ACMS GROUP INC,"10769 Broadway, Suite 333",CROWN POINT,IN,46307,238990,Corporation,Unanswered,Unanswered,Unanswered,,253,4/27/2020,First Financial Bank,IN - 01
a $5-10 million,"ALBANESE CONFECTIONERY GROUP, INC.",5441 East Lincoln Highway,MERRILLVILLE,IN,46410,311340,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/8/2020,BMO Harris Bank National Association,IN - 01
a $5-10 million,AMERICAN LICORICE COMPANY,1914 Happiness Way,LA PORTE,IN,46350,311340,Corporation,Unanswered,Unanswered,Unanswered,,420,4/13/2020,Commerce Bank,IN - 01
a $5-10 million,"AMERICAN STRUCTUREPOINT, INC.",9025 River Road,INDIANAPOLIS,IN,46240,541330,Corporation,Unanswered,Unanswered,Unanswered,,496,4/7/2020,The National Bank of Indianapolis,IN - 05
a $5-10 million,"ASH BROKERAGE, LLC",888 S. Harrison Ste. 900 0.0,FORT WAYNE,IN,46802,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,429,4/9/2020,"JPMorgan Chase Bank, National Association",IN - 03
a $5-10 million,"ASHLEY INDUSTRIAL MOLDING, INC.",310 WABASH ST,ASHLEY,IN,46705,326199,Corporation,Unanswered,Unanswered,Unanswered,,427,4/14/2020,Fifth Third Bank,IN - 03
a $5-10 million,BEST CHAIRS INCORPARATED,ONE BEST DRIVE,FERDINAND,IN,47532,337121,Corporation,Unanswered,Unanswered,Unanswered,,500,4/27/2020,Old National Bank,IN - 08
a $5-10 million,"BIOANALYTICAL SYSTEMS, INC.",2701 Kent Ave.,WEST LAFAYETTE,IN,47906,325412,Corporation,White,Male Owned,Non-Veteran,,249,4/13/2020,The Huntington National Bank,IN - 04
a $5-10 million,BLUE & CO LLC,12800 N MERIDIAN ST,CARMEL,IN,46032,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,447,4/13/2020,"PNC Bank, National Association",IN - 05
